Mod ID,Name,Category,Endorsements,Unique Downloads,Total Downloads,Views,Last Update,Original Upload,Creator Name,Uploader Name,Uploader ID,Country,Date Collected
11,STEP - Skyrim Total Enhancement Project,Overhauls,21191,258662,796890,5636331,2017/07/18,2011/11/11,The STEP Team,TheCompiler,2547509,Italy,2020/01/28
15,TES V Savegame Manager,Utilities,2915,36960,65582,436904,2011/11/24,2011/11/11,RedawgTS,redawgts,133710,Not specified,2020/01/30
17,Quick Start,Save Games,6295,119500,232995,648495,2011/11/11,2011/11/11,Vince--,Vince--,123461,United States of America,2020/01/28
18,No Dirty Bodies - Caucasian Female Races,Models and Textures,3231,77894,168091,726546,2011/11/11,2011/11/11,Viperslayer,Viperslayer,156106,United States of America,2020/01/30
23,I Wash - New Skin for Skyrim,Models and Textures,1289,23353,40367,241748,2011/11/28,2011/11/11,Blocky,Blocky,85220,Not specified,2020/01/31
34,FPS Limiter,Utilities,9627,181647,393258,1267084,2011/11/11,2011/11/11,GriefReaper,GriefReaper,2128510,United Kingdom,2020/01/28
47,TESV Reduced Texture Pack,Models and Textures,3661,66778,163681,636816,2011/11/12,2011/11/12,alex30001,alex30001,755106,China,2020/01/28
51,20 Moons - replacer pack,Environmental,1054,17602,36843,216893,2011/12/04,2011/11/12,akindain,akindain,1190353,United States of America,2020/01/31
58,Improved Female Skin Textures,Models and Textures,1139,21999,33016,305752,2011/11/21,2011/11/12,Volek,Volek,1113263,Germany,2020/01/31
62,Improved Dragon Textures,Creatures,2951,75518,123427,443809,2011/11/12,2011/11/12,SarahB360,sarahb360,1155589,Not specified,2020/01/30
71,Twiggys Colourful Barkeeps and CHSBHC bouncing meshes,Clothing,1145,17073,34303,220153,2012/01/16,2011/11/12,Twiggy,TwiggySkyrim,3021422,United Kingdom,2020/01/31
80,KenMOD - Alternate Skyrim cursors,User Interface,1207,14688,27729,168376,2011/11/18,2011/11/12,Kenney,Kenney,440451,Not specified,2020/01/31
83,Carteles en Espanol -spanish signs-,Models and Textures,1050,14140,30584,87081,2012/05/03,2011/11/12,Dorkirt,Dorkirt,86175,Not specified,2020/01/31
85,Enhanced Night Skyrim,Models and Textures,71974,1135198,3313278,6382364,2011/12/15,2011/11/13,CptJoker,CptJoker71,225951,Not specified,2020/01/28
87,Unlock all perks,Cheats and God items,1626,26799,56774,221492,2011/11/20,2011/11/13,Alimarin,alimarin,1225015,Not specified,2020/01/31
88,Interface Hard Coded Key Tweaks,User Interface,3016,42442,112566,481601,2013/01/07,2011/11/13,crazy-g,crazygNexus,3105683,Not specified,2020/01/30
95,Main Font Replacement,User Interface,19973,225526,641786,1445788,2011/11/19,2011/11/13,Valistar,Valistar,1156177,Not specified,2020/01/28
98,KenMOD - Time on loading screen,User Interface,28447,326537,702352,1515777,2011/11/19,2011/11/13,Kenney,Kenney,440451,Not specified,2020/01/28
100,KenMOD - Skip Bethesda intro,User Interface,9341,175748,292088,762947,2011/11/13,2011/11/13,Kenney,Kenney,440451,Not specified,2020/01/28
106,Armor Improvement,Models and Textures,1654,59041,136455,608994,2011/11/16,2011/11/13,Jimmy High,TC1984,2337365,Netherlands,2020/01/31
114,Chris2012s Whiterun HQ Texture Pack,Models and Textures,3363,72642,147801,863591,2011/11/27,2011/11/13,Chris2012,chris2012,2587572,Not specified,2020/01/30
120,Beautiful Skyrim - HD Clutter and Furniture,Models and Textures,2106,43716,85305,415996,2011/12/07,2011/11/13,Masterdaz,masterdaz22,1323519,Not specified,2020/01/30
131,FXAA Post Process Injector,Visuals and Graphics,20040,418409,971934,4174152,2011/12/19,2011/11/13,Retspadez,Retspadez,2109847,Not specified,2020/01/28
134,Skyrim 4GB Tutorial,Modders Resources and Tutorials,1682,40618,64133,797562,2011/11/13,2011/11/13,Mochtroid245,Mochtroid245,2430165,Not specified,2020/01/31
136,FINALLY actual fixed female face normal maps,"Body, Face, and Hair",1374,25415,39207,270654,2011/11/13,2011/11/13,Sakar,sacher,2771416,Not specified,2020/01/31
141,Skyrim Flora Overhaul,Models and Textures,177664,2287556,9204704,15915140,2019/06/26,2011/11/13,vurt,vurt,41808,Sweden,2020/01/27
145,World Map in full 3D,Gameplay Effects and Changes,3564,97238,175254,1049739,2012/02/23,2011/11/13,Mikanoshi,Mikanoshi,2342239,Russian Federation,2020/01/28
148,Fix Shadows,Visuals and Graphics,2657,60221,112124,469097,2011/11/14,2011/11/14,Valstein0,Valstein0,3106615,Not specified,2020/01/30
155,Skip to Character Creation,Cheats and God items,1700,31394,53604,218596,2011/11/14,2011/11/14,Ian the Lewis,iansaltman,2170457,United States of America,2020/01/31
164,Higher Jumping,Gameplay Effects and Changes,1989,28329,52653,208339,2011/11/14,2011/11/14,Volek,Volek,1113263,Germany,2020/01/31
167,Longer Sprinting,Gameplay Effects and Changes,1302,26597,47940,112429,2011/11/17,2011/11/14,Volek,Volek,1113263,Germany,2020/01/31
173,Male_Body_No_Hairy_Updated,Models and Textures,1319,21250,43087,171275,2011/11/19,2011/11/14,Srimk,srimk,911848,Not specified,2020/01/31
180,RCRN Plus - ENB,Gameplay Effects and Changes,1057,28094,55890,322041,2012/12/03,2011/11/14,TheCompiler,TheCompiler,2547509,Italy,2020/01/31
183,Timescales modified,Gameplay Effects and Changes,1030,14247,24887,117662,2011/11/27,2011/11/14,Frontsalat,Frontsalat,2266089,Germany,2020/01/31
193,Glowing Ore Veins 300,Visuals and Graphics,73053,845790,2051175,3512939,2011/12/10,2011/11/14,Baratan,ByblosHex,34843,Not specified,2020/01/28
194,Trees LODs with shadows by Xtudo,Visuals and Graphics,1084,19929,36558,173043,2013/08/07,2011/11/14,Xtudo,Xtudo,452087,Brazil,2020/01/31
195,Human eyes for Elves,Models and Textures,1871,23386,42290,173117,2011/11/19,2011/11/14,Porcelyn,Porcelyn,56142,Canada,2020/01/31
210,Activate Fail Noise Removal,"Audio - SFX, Music, and Voice",1410,18105,38598,84930,2011/11/14,2011/11/14,Elec0,Elec0,594206,United States of America,2020/01/31
213,No heavy muscular walk and idle,Animation,6704,74024,141920,567194,2013/05/20,2011/11/15,Scot,scot,392488,Portugal,2020/01/28
219,KenMOD - Lockpick Pro - Cheat,Cheats and God items,63516,687000,1801654,3064668,2011/11/20,2011/11/15,Kenney,Kenney,440451,Not specified,2020/01/28
225,Accingite Vos - Shields HQ Retextures,Models and Textures,4543,86628,181159,451257,2011/12/14,2011/11/15,Alex,cylone,3075629,Not specified,2020/01/28
238,HD Furniture and barrels final __ hi-res texture replacer,Models and Textures,5286,120235,242809,567089,2011/12/05,2011/11/15,quazaque,quazaque,2401225,Not specified,2020/01/28
242,Death Cam Duration Options,Gameplay Effects and Changes,2159,29183,60620,209475,2012/08/07,2011/11/15,JustinOther,JustinOther,535437,United States of America,2020/01/30
246,Better Xbox360 Controller - 8 hotkeys quicksave -load,User Interface,1960,18133,36209,246402,2012/11/14,2011/11/15,Waldkoenig,Waldkoenig,3128610,Germany,2020/01/31
247,BSAopt - Bethesda Archive Management and Optimization,Utilities,12950,143947,272889,726622,2013/01/14,2011/11/15,Ethatron,Ethatron,2518789,Not specified,2020/01/28
248,3rd Person Dual Wield Animation Fix,Animation,5010,81291,161718,608292,2011/11/16,2011/11/15,imeltfaces and Bethesda,imeltfaces,1073116,Not specified,2020/01/28
259,Max out alchemy smithing and enchanting,Cheats and God items,1531,23574,45362,172401,2011/11/15,2011/11/15,Syntax1985,Syntax1985,959825,Not specified,2020/01/31
272,Map Interface Tweaks,User Interface,1146,22115,33454,234910,2015/07/15,2011/11/15,athfkarl,athfkarl,1886035,United States of America,2020/01/31
