Mod ID,Mod Name,Tag,User ID,Country,Endorsements,Unique Downloads,Total Downloads,Views
11,STEP - Skyrim Total Enhancement Project,Compilation,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Performance Optimization,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Gameplay Effects/Changes,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Lore-Friendly,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Replacer,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Fair and Balanced,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,English,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Audio - Music,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Audio - Sound FX,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Environment Other,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Environment - Water,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Face,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Textures,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Tutorials for Players,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Utilities for Players,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Hair,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Races - Modified,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Books,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Clothing - Male,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Creatures,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Items - Furniture,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Magic - Spells,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Plants/Foliage,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,Items - Clutter,2547509,Italy,21191,258662,796890,5636331
11,STEP - Skyrim Total Enhancement Project,ENB Preset,2547509,Italy,21191,258662,796890,5636331
15,TES V Savegame Manager,Saved Games,133710,Not specified,2915,36960,65582,436904
